,Quarter,Time,Tm,Detail,CAR,STL
0,1,5:34,Rams,Jeff Wilkins 20 yard field goal,0,3
1,2,13:26,Rams,Jeff Wilkins 26 yard field goal,0,6
2,2,11:22,Panthers,Muhsin Muhammad offensive fumble recovery in end zone (John Kasay kick),7,6
3,2,6:58,Rams,Jeff Wilkins 24 yard field goal,7,9
4,2,1:07,Panthers,John Kasay 45 yard field goal,10,9
5,3,11:25,Rams,Jeff Wilkins 51 yard field goal,10,12
6,3,7:45,Panthers,John Kasay 52 yard field goal,13,12
7,3,0:43,Panthers,John Kasay 34 yard field goal,16,12
8,4,8:50,Panthers,Brad Hoover 7 yard rush (John Kasay kick),23,12
9,4,2:39,Rams,Marshall Faulk 1 yard rush (Dane Looker pass from Marc Bulger),23,20
10,4,0:00,Rams,Jeff Wilkins 33 yard field goal,23,23
11,OT,14:50,Panthers,Steve Smith 69 yard pass from Jake Delhomme,29,23
