,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,9:34,Colts,Mike Vanderjagt 31 yard field goal,0,3
1,1.0,7:20,Jets,Jonathan Carter 62 yard pass from Chad Pennington (Doug Brien kick),7,3
2,1.0,3:56,Colts,Troy Walters 46 yard pass from Peyton Manning (Mike Vanderjagt kick),7,10
3,2.0,6:41,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),7,17
4,2.0,1:55,Jets,Doug Brien 43 yard field goal,10,17
5,2.0,0:07,Colts,Edgerrin James 4 yard rush (Mike Vanderjagt kick),10,24
6,3.0,13:41,Jets,Curtis Conway 28 yard pass from Chad Pennington (Doug Brien kick),17,24
7,3.0,10:18,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),17,31
8,3.0,10:05,Jets,Jonathan Carter 90 yard kickoff return (Doug Brien kick),24,31
9,3.0,6:50,Jets,Santana Moss 48 yard pass from Chad Pennington (Doug Brien kick),31,31
10,3.0,3:12,Colts,Hunter Smith 21 yard rush (Mike Vanderjagt kick),31,38
