,Quarter,Time,Tm,Detail,IND,TEN
0,1.0,10:25,Titans,Gary Anderson 40 yard field goal,0,3
1,1.0,6:46,Colts,Mike Vanderjagt 21 yard field goal,3,3
2,1.0,1:47,Titans,Steve McNair 2 yard rush (Gary Anderson kick),3,10
3,2.0,8:56,Colts,Mike Vanderjagt 35 yard field goal,6,10
4,2.0,1:48,Colts,Mike Vanderjagt 36 yard field goal,9,10
5,2.0,0:02,Colts,Mike Vanderjagt 23 yard field goal,12,10
6,3.0,9:33,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),19,10
7,3.0,7:16,Colts,Mike Vanderjagt 26 yard field goal,22,10
8,3.0,2:40,Titans,Gary Anderson 40 yard field goal,22,13
9,3.0,0:37,Colts,Edgerrin James 5 yard rush (Mike Vanderjagt kick),29,13
10,4.0,9:24,Titans,Robert Holcombe 1 yard pass from Steve McNair (Steve McNair run),29,21
11,4.0,1:52,Titans,Derrick Mason 2 yard pass from Steve McNair (pass failed),29,27
