,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,9:24,Broncos,Clinton Portis 11 yard rush (Jason Elam kick),0,7
1,1.0,3:03,Chiefs,Priest Holmes 2 yard rush (Morten Andersen kick),7,7
2,2.0,11:18,Broncos,Clinton Portis 1 yard rush (Jason Elam kick),7,14
3,2.0,7:36,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),14,14
4,2.0,5:28,Broncos,Jason Elam 47 yard field goal,14,17
5,2.0,1:19,Chiefs,Eddie Kennison 42 yard pass from Trent Green (Morten Andersen kick),21,17
6,3.0,5:58,Broncos,Reuben Droughns 3 yard pass from Jake Plummer (Jason Elam kick),21,24
7,3.0,2:42,Broncos,Clinton Portis 59 yard rush (Jason Elam kick),21,31
8,4.0,11:24,Broncos,Clinton Portis 28 yard rush (Jason Elam kick),21,38
9,4.0,7:58,Broncos,Clinton Portis 53 yard rush (Jason Elam kick),21,45
10,4.0,0:02,Chiefs,Trent Green 1 yard rush (pass failed),27,45
