,Quarter,Time,Tm,Detail,TEN,NWE
0,1.0,10:43,Titans,Craig Hentrich 48 yard field goal,3,0
1,1.0,3:06,Titans,Gary Anderson 43 yard field goal,6,0
2,1.0,1:00,Patriots,Troy Brown 58 yard pass from Tom Brady (Adam Vinatieri kick),6,7
3,2.0,1:58,Titans,Steve McNair 1 yard rush (Gary Anderson kick),13,7
4,3.0,9:25,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),13,14
5,3.0,5:31,Titans,Gary Anderson 33 yard field goal,16,14
6,3.0,0:58,Patriots,Mike Cloud 1 yard rush (Adam Vinatieri kick),16,21
7,4.0,13:19,Titans,Gary Anderson 37 yard field goal,19,21
8,4.0,11:47,Patriots,Adam Vinatieri 48 yard field goal,19,24
9,4.0,4:40,Titans,Steve McNair 1 yard rush (Tyrone Calico pass from Steve McNair),27,24
10,4.0,3:14,Patriots,Mike Cloud 15 yard rush (Adam Vinatieri kick),27,31
11,4.0,1:49,Patriots,Ty Law 65 yard interception return (Adam Vinatieri kick),27,38
12,4.0,0:36,Titans,Gary Anderson 41 yard field goal,30,38
