,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,12:00,Falcons,Alge Crumpler 18 yard pass from Michael Vick (Jay Feely kick),0,7
1,1.0,9:14,Rams,Kevin Curtis 57 yard pass from Marc Bulger (Jeff Wilkins kick),7,7
2,1.0,7:52,Falcons,Warrick Dunn 62 yard rush (Jay Feely kick),7,14
3,2.0,9:58,Falcons,Warrick Dunn 19 yard rush (Jay Feely kick),7,21
4,2.0,5:26,Rams,Torry Holt 28 yard pass from Marc Bulger (Jeff Wilkins kick),14,21
5,2.0,0:59,Falcons,Allen Rossum 68 yard punt return (Jay Feely kick),14,28
6,2.0,0:00,Rams,Jeff Wilkins 55 yard field goal,17,28
7,3.0,10:05,Falcons,Peerless Price 6 yard pass from Michael Vick (Jay Feely kick),17,35
8,3.0,5:54,Falcons,Jay Feely 38 yard field goal,17,38
9,4.0,11:39,Falcons,"Safety,",17,40
10,4.0,1:54,Falcons,T.J. Duckett 4 yard rush (Jay Feely kick),17,47
