,Quarter,Time,Tm,Detail,DAL,SEA
0,1.0,10:42,Seahawks,Jerry Rice 27 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
1,1.0,8:49,Cowboys,Billy Cundiff 39 yard field goal,3,7
2,1.0,3:47,Seahawks,Darrell Jackson 2 yard pass from Matt Hasselbeck (Josh Brown kick),3,14
3,2.0,12:12,Cowboys,Billy Cundiff 49 yard field goal,6,14
4,2.0,6:08,Cowboys,Terrance Copper 9 yard pass from Vinny Testaverde (run failed),12,14
5,2.0,0:32,Cowboys,Julius Jones 8 yard rush (Billy Cundiff kick),19,14
6,3.0,13:45,Cowboys,Julius Jones 10 yard rush (Billy Cundiff kick),26,14
7,3.0,10:10,Cowboys,Billy Cundiff 47 yard field goal,29,14
8,3.0,3:01,Seahawks,Josh Brown 21 yard field goal,29,17
9,4.0,9:30,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),29,24
10,4.0,5:29,Seahawks,Jerheme Urban 19 yard pass from Matt Hasselbeck (Darrell Jackson pass from Matt Hasselbeck ),29,32
11,4.0,2:46,Seahawks,Shaun Alexander 32 yard rush (Josh Brown kick),29,39
12,4.0,1:45,Cowboys,Keyshawn Johnson 34 yard pass from Vinny Testaverde (Billy Cundiff kick),36,39
13,4.0,0:32,Cowboys,Julius Jones 17 yard rush (Billy Cundiff kick),43,39
