,Quarter,Time,Tm,Detail,GNB,MIN
0,2.0,14:49,Vikings,Randy Moss 12 yard pass from Daunte Culpepper (Morten Andersen kick),0,7
1,2.0,6:37,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),7,7
2,2.0,6:15,Vikings,Nate Burleson 68 yard pass from Daunte Culpepper (Morten Andersen kick),7,14
3,2.0,1:17,Packers,Bubba Franks 22 yard pass from Brett Favre (Ryan Longwell kick),14,14
4,2.0,0:58,Vikings,Michael Bennett 38 yard pass from Daunte Culpepper (Morten Andersen kick),14,21
5,2.0,0:00,Packers,Ryan Longwell 42 yard field goal,17,21
6,3.0,7:41,Packers,Javon Walker 9 yard pass from Brett Favre (Ryan Longwell kick),24,21
7,4.0,14:57,Vikings,Morten Andersen 29 yard field goal,24,24
8,4.0,8:18,Vikings,Chris Claiborne 15 yard interception return (Morten Andersen kick),24,31
9,4.0,3:34,Packers,Donald Driver 3 yard pass from Brett Favre (Ryan Longwell kick),31,31
10,4.0,0:00,Packers,Ryan Longwell 29 yard field goal,34,31
