,Quarter,Time,Tm,Detail,NYJ,SDG
0,1.0,7:50,Jets,Curtis Martin 1 yard rush (Doug Brien kick),7,0
1,1.0,3:42,Jets,Curtis Martin 2 yard rush (Doug Brien kick),14,0
2,2.0,9:40,Jets,Doug Brien 28 yard field goal,17,0
3,2.0,9:28,Chargers,Tim Dwight 87 yard kickoff return (Nate Kaeding kick),17,7
4,3.0,11:16,Jets,Doug Brien 23 yard field goal,20,7
5,3.0,3:31,Jets,Jerald Sowell 4 yard pass from Chad Pennington (Doug Brien kick),27,7
6,3.0,2:12,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),27,14
7,4.0,7:38,Chargers,Reche Caldwell 33 yard pass from Drew Brees (Nate Kaeding kick),27,21
8,4.0,3:56,Jets,Chris Baker 1 yard pass from Chad Pennington (Doug Brien kick),34,21
9,4.0,0:30,Chargers,Doug Flutie 6 yard rush (Nate Kaeding kick),34,28
