,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,9:39,Falcons,Todd Peterson 37 yard field goal,3,0
1,1.0,3:37,Saints,Antowain Smith 24 yard rush (John Carney kick),3,7
2,2.0,9:55,Saints,John Carney 19 yard field goal,3,10
3,2.0,4:04,Falcons,DeAngelo Hall 66 yard defensive fumble return (Todd Peterson kick),10,10
4,2.0,0:00,Falcons,Demorrio Williams 59 yard blocked field goal return (Todd Peterson kick),17,10
5,3.0,7:39,Saints,Antowain Smith 1 yard rush (John Carney kick),17,17
6,4.0,12:17,Falcons,Justin Griffith 12 yard pass from Michael Vick (Todd Peterson kick),24,17
7,4.0,6:56,Saints,Donte' Stallworth 27 yard pass from Aaron Brooks (John Carney kick),24,24
8,4.0,4:37,Falcons,Warrick Dunn 21 yard rush (Todd Peterson kick),31,24
9,4.0,0:46,Saints,Devery Henderson 15 yard pass from Aaron Brooks (John Carney kick),31,31
10,4.0,0:00,Falcons,Todd Peterson 36 yard field goal,34,31
