,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,7:24,Patriots,Logan Mankins offensive fumble recovery in end zone (Stephen Gostkowski kick),7,0
1,1.0,0:48,Colts,Adam Vinatieri 42 yard field goal,7,3
2,2.0,10:18,Patriots,Corey Dillon 7 yard rush (Stephen Gostkowski kick),14,3
3,2.0,9:25,Patriots,Asante Samuel 39 yard interception return (Stephen Gostkowski kick),21,3
4,2.0,0:07,Colts,Adam Vinatieri 26 yard field goal,21,6
5,3.0,8:13,Colts,Peyton Manning 1 yard rush (Adam Vinatieri kick),21,13
6,3.0,4:00,Colts,Dan Klecko 1 yard pass from Peyton Manning (Marvin Harrison pass from Peyton Manning),21,21
7,3.0,1:25,Patriots,Jabar Gaffney 6 yard pass from Tom Brady (Stephen Gostkowski kick),28,21
8,4.0,13:24,Colts,Jeff Saturday offensive fumble recovery in end zone (Adam Vinatieri kick),28,28
9,4.0,7:42,Patriots,Stephen Gostkowski 28 yard field goal,31,28
10,4.0,5:31,Colts,Adam Vinatieri 36 yard field goal,31,31
11,4.0,3:49,Patriots,Stephen Gostkowski 43 yard field goal,34,31
12,4.0,1:00,Colts,Joseph Addai 3 yard rush (Adam Vinatieri kick),34,38
