,Quarter,Time,Tm,Detail,SFO,DEN
0,1,0:43,Broncos,Jason Elam 22 yard field goal,0,3
1,2,11:19,Broncos,Jason Elam 21 yard field goal,0,6
2,2,2:09,Broncos,Champ Bailey 70 yard interception return (Jason Elam kick),0,13
3,2,0:04,49ers,Joe Nedney 46 yard field goal,3,13
4,3,7:52,49ers,Moran Norris 32 yard pass from Alex Smith (Joe Nedney kick),10,13
5,3,6:25,49ers,Walt Harris 28 yard interception return (Joe Nedney kick),17,13
6,3,1:45,Broncos,Jason Elam 22 yard field goal,17,16
7,4,11:57,49ers,Joe Nedney 29 yard field goal,20,16
8,4,6:14,49ers,Joe Nedney 46 yard field goal,23,16
9,4,1:30,Broncos,Tony Scheffler 9 yard pass from Jay Cutler (Jason Elam kick),23,23
10,OT,1:56,49ers,Joe Nedney 36 yard field goal,26,23
