,Quarter,Time,Tm,Detail,SDG,SFO
0,1.0,12:00,Chargers,Antonio Gates 57 yard pass from Philip Rivers (Nate Kaeding kick),7,0
1,1.0,9:00,49ers,Bryan Gilmore 15 yard pass from Alex Smith (Joe Nedney kick),7,7
2,1.0,2:45,Chargers,LaDainian Tomlinson 5 yard rush (Nate Kaeding kick),14,7
3,2.0,14:44,49ers,Joe Nedney 42 yard field goal,14,10
4,2.0,11:57,Chargers,Vincent Jackson 33 yard pass from Philip Rivers (Nate Kaeding kick),21,10
5,2.0,6:20,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),28,10
6,2.0,3:32,49ers,Moran Norris 2 yard pass from Alex Smith (Joe Nedney kick),28,17
7,2.0,3:12,49ers,"Safety,",28,19
8,2.0,0:33,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),35,19
9,3.0,9:09,Chargers,Nate Kaeding 24 yard field goal,38,19
10,4.0,13:29,Chargers,Nate Kaeding 44 yard field goal,41,19
11,4.0,4:20,Chargers,LaDainian Tomlinson 5 yard rush (Nate Kaeding kick),48,19
