,Quarter,Time,Tm,Detail,OAK,MIN
0,1.0,14:11,Vikings,Chester Taylor 10 yard rush (Ryan Longwell kick),0,7
1,1.0,8:30,Vikings,"Safety,",0,9
2,1.0,4:45,Raiders,Sebastian Janikowski 42 yard field goal,3,9
3,2.0,14:56,Vikings,Ryan Longwell 30 yard field goal,3,12
4,2.0,12:57,Raiders,John Madsen 10 yard pass from Daunte Culpepper (Sebastian Janikowski kick),10,12
5,2.0,11:18,Raiders,Sebastian Janikowski 30 yard field goal,13,12
6,2.0,9:17,Vikings,Chester Taylor 38 yard rush (Ryan Longwell kick),13,19
7,2.0,1:42,Raiders,Sebastian Janikowski 42 yard field goal,16,19
8,2.0,0:00,Raiders,Sebastian Janikowski 49 yard field goal,19,19
9,3.0,8:23,Vikings,Ryan Longwell 38 yard field goal,19,22
10,4.0,14:52,Vikings,Chester Taylor 6 yard rush (Ryan Longwell kick),19,29
11,4.0,3:23,Raiders,Sebastian Janikowski 52 yard field goal,22,29
