,Quarter,Time,Tm,Detail,IND,HOU
0,1.0,9:42,Colts,Adam Vinatieri 46 yard field goal,3,0
1,1.0,2:16,Colts,Joseph Addai 1 yard rush (Adam Vinatieri kick),10,0
2,2.0,12:06,Texans,Steve Slaton 1 yard rush (Kris Brown kick),10,7
3,2.0,7:09,Texans,Kris Brown 37 yard field goal,10,10
4,2.0,0:27,Texans,Andre Johnson 5 yard pass from Sage Rosenfels (Kris Brown kick),10,17
5,3.0,0:21,Texans,Kris Brown 43 yard field goal,10,20
6,4.0,8:18,Texans,Steve Slaton 1 yard rush (Kris Brown kick),10,27
7,4.0,4:04,Colts,Tom Santi 7 yard pass from Peyton Manning (Adam Vinatieri kick),17,27
8,4.0,3:36,Colts,Gary Brackett 68 yard defensive fumble return (Adam Vinatieri kick),24,27
9,4.0,1:54,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Adam Vinatieri kick),31,27
