,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,13:06,Redskins,Jason Campbell 1 yard rush (Shaun Suisham kick),7,0
1,1.0,8:55,Eagles,David Akers 29 yard field goal,7,3
2,1.0,2:48,Eagles,DeSean Jackson 35 yard pass from Donovan McNabb (David Akers kick),7,10
3,2.0,11:44,Redskins,Santana Moss 4 yard pass from Jason Campbell (Shaun Suisham kick),14,10
4,2.0,0:49,Eagles,David Akers 24 yard field goal,14,13
5,2.0,0:03,Eagles,David Akers 41 yard field goal,14,16
6,3.0,8:34,Redskins,Fred Davis 10 yard pass from Jason Campbell (Shaun Suisham kick),21,16
7,4.0,11:42,Redskins,Shaun Suisham 25 yard field goal,24,16
8,4.0,7:24,Eagles,Eldra Buckley 1 yard rush (LeSean McCoy pass from Donovan McNabb),24,24
9,4.0,1:48,Eagles,David Akers 32 yard field goal,24,27
