,Quarter,Time,Tm,Detail,DEN,PHI
0,1.0,4:08,Eagles,DeSean Jackson 2 yard pass from Donovan McNabb (David Akers kick),0,7
1,1.0,0:00,Eagles,David Akers 39 yard field goal,0,10
2,2.0,9:16,Broncos,Jabar Gaffney 11 yard pass from Kyle Orton (Matt Prater kick),7,10
3,2.0,7:51,Eagles,Brent Celek 47 yard pass from Donovan McNabb (David Akers kick),7,17
4,2.0,0:26,Eagles,David Akers 45 yard field goal,7,20
5,3.0,9:42,Broncos,Matt Prater 33 yard field goal,10,20
6,3.0,7:09,Eagles,Jason Avant 15 yard pass from Donovan McNabb (David Akers kick),10,27
7,3.0,1:42,Broncos,Jabar Gaffney 7 yard pass from Kyle Orton (Matt Prater kick),17,27
8,3.0,0:53,Broncos,Knowshon Moreno 16 yard pass from Kyle Orton (Matt Prater kick),24,27
9,4.0,6:05,Broncos,Matt Prater 46 yard field goal,27,27
10,4.0,0:04,Eagles,David Akers 28 yard field goal,27,30
