,Quarter,Time,Tm,Detail,DET,NOR
0,1.0,12:11,Saints,Marques Colston 9 yard pass from Drew Brees (John Carney kick),0,7
1,1.0,9:34,Saints,Robert Meachem 39 yard pass from Drew Brees (John Carney kick),0,14
2,1.0,5:12,Lions,Jason Hanson 47 yard field goal,3,14
3,2.0,14:06,Lions,Kevin Smith 4 yard rush (Jason Hanson kick),10,14
4,2.0,3:45,Saints,Jeremy Shockey 1 yard pass from Drew Brees (John Carney kick),10,21
5,2.0,1:10,Saints,Jeremy Shockey 15 yard pass from Drew Brees (John Carney kick),10,28
6,3.0,11:47,Lions,Matthew Stafford 1 yard rush (Jason Hanson kick),17,28
7,3.0,6:11,Saints,John Carney 39 yard field goal,17,31
8,3.0,3:22,Lions,Jason Hanson 24 yard field goal,20,31
9,3.0,3:03,Saints,Devery Henderson 58 yard pass from Drew Brees (John Carney kick),20,38
10,3.0,1:29,Lions,Louis Delmas 65 yard defensive fumble return (Jason Hanson kick),27,38
11,4.0,8:29,Saints,Heath Evans 13 yard pass from Drew Brees (John Carney kick),27,45
