,Quarter,Time,Tm,Detail,SFO,STL
0,1.0,6:20,Rams,Kellen Clemens 18 yard rush (Josh Brown kick),0,7
1,1.0,0:37,49ers,Alex Smith 8 yard rush (David Akers kick),7,7
2,2.0,13:05,49ers,Michael Crabtree 28 yard pass from Alex Smith (David Akers kick),14,7
3,2.0,7:14,49ers,David Akers 36 yard field goal,17,7
4,2.0,1:00,49ers,David Akers 42 yard field goal,20,7
5,3.0,5:04,Rams,Josh Brown 49 yard field goal,20,10
6,3.0,0:55,49ers,Michael Crabtree 14 yard pass from David Akers (David Akers kick),27,10
7,4.0,12:19,Rams,Josh Brown 48 yard field goal,27,13
8,4.0,6:30,49ers,Anthony Dixon 1 yard rush (David Akers kick),34,13
9,4.0,4:49,Rams,Brandon Lloyd 36 yard pass from Kellen Clemens (Josh Brown kick),34,20
10,4.0,4:36,Rams,Cadillac Williams 1 yard rush (Josh Brown kick),34,27
