,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,8:12,Falcons,Jacquizz Rodgers 1 yard rush (Matt Bryant kick),0,7
1,1.0,3:30,Falcons,Julio Jones 17 yard pass from Matt Ryan (Matt Bryant kick),0,14
2,1.0,3:04,Falcons,Julio Jones 48 yard pass from Matt Ryan (Matt Bryant kick),0,21
3,2.0,11:40,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),0,28
4,2.0,10:43,Falcons,Curtis Lofton 26 yard interception return (Matt Bryant kick),0,35
5,2.0,6:49,Falcons,Michael Turner 81 yard rush (Matt Bryant kick),0,42
6,2.0,2:04,Buccaneers,Dezmon Briscoe 2 yard pass from Josh Freeman (Connor Barth kick),7,42
7,3.0,4:19,Buccaneers,Connor Barth 41 yard field goal,10,42
8,3.0,3:32,Buccaneers,Elbert Mack 40 yard interception return (Kellen Winslow pass from Josh Freeman ),18,42
9,4.0,11:13,Buccaneers,Dezmon Briscoe 5 yard pass from Josh Freeman (run failed),24,42
10,4.0,3:59,Falcons,Matt Bryant 20 yard field goal,24,45
