,Quarter,Time,Tm,Detail,DET,NOR
0,1.0,10:58,Lions,Will Heller 10 yard pass from Matthew Stafford (Jason Hanson kick),7,0
1,2.0,14:01,Saints,Darren Sproles 2 yard rush (John Kasay kick),7,7
2,2.0,9:11,Lions,Calvin Johnson 13 yard pass from Matthew Stafford (Jason Hanson kick),14,7
3,2.0,0:00,Saints,John Kasay 24 yard field goal,14,10
4,3.0,13:09,Saints,Devery Henderson 41 yard pass from Drew Brees (John Kasay kick),14,17
5,3.0,4:03,Saints,Jimmy Graham 3 yard pass from Drew Brees (John Kasay kick),14,24
6,3.0,1:08,Lions,Matthew Stafford 1 yard rush (Jason Hanson kick),21,24
7,4.0,9:53,Saints,Darren Sproles 17 yard rush (John Kasay kick),21,31
8,4.0,7:29,Saints,Robert Meachem 56 yard pass from Drew Brees (John Kasay kick),21,38
9,4.0,4:40,Lions,Calvin Johnson 12 yard pass from Matthew Stafford (Jason Hanson kick),28,38
10,4.0,3:36,Saints,Pierre Thomas 1 yard rush (John Kasay kick),28,45
