,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,10:10,Titans,Jared Cook 18 yard pass from Jake Locker (Rob Bironas kick),7,0
1,1.0,1:01,Colts,Reggie Wayne 4 yard pass from Andrew Luck (Adam Vinatieri kick),7,7
2,2.0,12:27,Titans,Rob Bironas 40 yard field goal,10,7
3,2.0,4:40,Titans,Will Witherspoon 40 yard interception return (Rob Bironas kick),17,7
4,2.0,0:37,Titans,Rob Bironas 31 yard field goal,20,7
5,3.0,8:36,Colts,Delone Carter 1 yard rush (Adam Vinatieri kick),20,14
6,3.0,5:36,Colts,Cassius Vaughn 3 yard interception return (Adam Vinatieri kick),20,21
7,4.0,10:28,Titans,Rob Bironas 25 yard field goal,23,21
8,4.0,6:23,Colts,Adam Vinatieri 53 yard field goal,23,24
9,4.0,3:48,Colts,Adam Vinatieri 40 yard field goal,23,27
