,Quarter,Time,Tm,Detail,JAX,MIN
0,1,2:52,Jaguars,Josh Scobee 19 yard field goal,3,0
1,2,5:21,Jaguars,Marcedes Lewis 1 yard pass from Blaine Gabbert (Josh Scobee kick failed),9,0
2,2,0:41,Vikings,Adrian Peterson 3 yard rush (Blair Walsh kick),9,7
3,3,9:42,Vikings,Adrian Peterson 2 yard rush (Blair Walsh kick),9,14
4,3,4:40,Jaguars,Josh Scobee 26 yard field goal,12,14
5,4,14:09,Vikings,Blair Walsh 20 yard field goal,12,17
6,4,9:35,Jaguars,Josh Scobee 47 yard field goal,15,17
7,4,5:33,Vikings,Blair Walsh 42 yard field goal,15,20
8,4,0:20,Jaguars,Cecil Shorts 39 yard pass from Blaine Gabbert (Justin Blackmon pass from Blaine Gabbert),23,20
9,4,0:00,Vikings,Blair Walsh 55 yard field goal,23,23
10,OT,11:06,Vikings,Blair Walsh 38 yard field goal,23,26
