,Quarter,Time,Tm,Detail,CAR,CHI
0,1.0,4:32,Bears,Matt Forte 13 yard rush (Robbie Gould kick),0,7
1,1.0,2:01,Panthers,Justin Medlock 34 yard field goal,3,7
2,2.0,14:45,Panthers,Louis Murphy offensive fumble recovery in end zone (Justin Medlock kick),10,7
3,2.0,4:36,Panthers,Justin Medlock 31 yard field goal,13,7
4,3.0,6:47,Panthers,Justin Medlock 22 yard field goal,16,7
5,3.0,1:30,Panthers,Justin Medlock 43 yard field goal,19,7
6,4.0,6:52,Bears,Kellen Davis 12 yard pass from Jay Cutler (Robbie Gould kick),19,14
7,4.0,6:44,Bears,Tim Jennings 25 yard interception return (run failed),19,20
8,4.0,2:27,Panthers,Justin Medlock 45 yard field goal,22,20
9,4.0,0:00,Bears,Robbie Gould 41 yard field goal,22,23
