,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,9:51,Raiders,Sebastian Janikowski 36 yard field goal,3,0
1,2.0,14:44,Raiders,Sebastian Janikowski 35 yard field goal,6,0
2,2.0,10:21,Chiefs,Ryan Succop 30 yard field goal,6,3
3,2.0,4:12,Chiefs,Ryan Succop 42 yard field goal,6,6
4,2.0,0:49,Raiders,Denarius Moore 9 yard pass from Carson Palmer (Sebastian Janikowski kick),13,6
5,3.0,13:58,Raiders,Sebastian Janikowski 29 yard field goal,16,6
6,3.0,8:40,Chiefs,Ryan Succop 52 yard field goal,16,9
7,3.0,5:40,Raiders,Darrius Heyward-Bey 32 yard pass from Carson Palmer (Sebastian Janikowski kick),23,9
8,4.0,8:14,Raiders,Sebastian Janikowski 32 yard field goal,26,9
9,4.0,2:27,Chiefs,Dexter McCluster 10 yard pass from Matt Cassel (Ryan Succop kick),26,16
