,Quarter,Time,Tm,Detail,BAL,DEN
0,1.0,7:11,Ravens,Vonta Leach 2 yard pass from Joe Flacco (Justin Tucker kick),7,0
1,2.0,11:35,Broncos,Julius Thomas 24 yard pass from Peyton Manning (Matt Prater kick),7,7
2,2.0,8:03,Ravens,Ray Rice 1 yard rush (Justin Tucker kick),14,7
3,2.0,5:34,Broncos,Julius Thomas 23 yard pass from Peyton Manning (Matt Prater kick),14,14
4,2.0,0:07,Ravens,Justin Tucker 25 yard field goal,17,14
5,3.0,12:30,Broncos,Andre Caldwell 28 yard pass from Peyton Manning (Matt Prater kick),17,21
6,3.0,10:28,Broncos,Wes Welker 5 yard pass from Peyton Manning (Matt Prater kick),17,28
7,3.0,6:37,Broncos,Wes Welker 2 yard pass from Peyton Manning (Matt Prater kick),17,35
8,4.0,13:13,Broncos,Demaryius Thomas 26 yard pass from Peyton Manning (Matt Prater kick),17,42
9,4.0,10:28,Ravens,Marlon Brown 13 yard pass from Joe Flacco (Justin Tucker kick),24,42
10,4.0,5:29,Ravens,Justin Tucker 30 yard field goal,27,42
11,4.0,4:30,Broncos,Demaryius Thomas 78 yard pass from Peyton Manning (Matt Prater kick),27,49
