,Quarter,Time,Tm,Detail,ARI,STL
0,2.0,14:11,Cardinals,Larry Fitzgerald 4 yard pass from Carson Palmer (Jay Feely kick),7,0
1,2.0,11:20,Rams,Greg Zuerlein 36 yard field goal,7,3
2,2.0,5:23,Cardinals,Jay Feely 30 yard field goal,10,3
3,2.0,0:26,Rams,Jared Cook 13 yard pass from Sam Bradford (Greg Zuerlein kick),10,10
4,3.0,13:57,Rams,Greg Zuerlein 25 yard field goal,10,13
5,3.0,10:34,Cardinals,Dan Williams 2 yard interception return (Jay Feely kick),17,13
6,3.0,1:47,Cardinals,Larry Fitzgerald 24 yard pass from Carson Palmer (Jay Feely kick),24,13
7,4.0,12:56,Rams,Jared Cook 1 yard pass from Sam Bradford (Sam Bradford run),24,21
8,4.0,9:04,Rams,Greg Zuerlein 38 yard field goal,24,24
9,4.0,0:40,Rams,Greg Zuerlein 48 yard field goal,24,27
