,Quarter,Time,Tm,Detail,DEN,NYG
0,1.0,7:41,Giants,Josh Brown 36 yard field goal,0,3
1,2.0,14:22,Broncos,Knowshon Moreno 20 yard rush (Matt Prater kick),7,3
2,2.0,6:53,Giants,Josh Brown 24 yard field goal,7,6
3,2.0,2:19,Giants,Josh Brown 41 yard field goal,7,9
4,2.0,0:47,Broncos,Matt Prater 42 yard field goal,10,9
5,3.0,8:58,Broncos,Wes Welker 2 yard pass from Peyton Manning (Matt Prater kick),17,9
6,3.0,3:08,Giants,Brandon Jacobs 1 yard rush (Josh Brown kick),17,16
7,3.0,0:25,Broncos,Knowshon Moreno 25 yard rush (Matt Prater kick),24,16
8,4.0,12:19,Broncos,Julius Thomas 11 yard pass from Peyton Manning (Matt Prater kick),31,16
9,4.0,10:13,Broncos,Trindon Holliday 81 yard punt return (Matt Prater kick),38,16
10,4.0,3:59,Giants,Da'Rel Scott 23 yard pass from Eli Manning (Josh Brown kick),38,23
11,4.0,2:38,Broncos,Matt Prater 47 yard field goal,41,23
