,Quarter,Time,Tm,Detail,DEN,DAL
0,1.0,8:06,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),0,7
1,1.0,3:18,Cowboys,DeMarco Murray 4 yard rush (Dan Bailey kick),0,14
2,1.0,2:28,Broncos,Julius Thomas 4 yard pass from Peyton Manning (Matt Prater kick),7,14
3,2.0,12:14,Cowboys,Dan Bailey 43 yard field goal,7,17
4,2.0,9:06,Broncos,Eric Decker 2 yard pass from Peyton Manning (Matt Prater kick),14,17
5,2.0,5:22,Broncos,Julius Thomas 9 yard pass from Peyton Manning (Matt Prater kick),21,17
6,2.0,0:46,Broncos,Peyton Manning 1 yard rush (Matt Prater kick),28,17
7,2.0,0:00,Cowboys,Dan Bailey 48 yard field goal,28,20
8,3.0,8:03,Broncos,Wes Welker 2 yard pass from Peyton Manning (Matt Prater kick),35,20
9,3.0,7:08,Cowboys,Terrance Williams 82 yard pass from Tony Romo (Dan Bailey kick),35,27
10,3.0,3:23,Broncos,Matt Prater 48 yard field goal,38,27
11,3.0,0:14,Cowboys,Dez Bryant 2 yard pass from Tony Romo (run failed),38,33
12,4.0,13:38,Cowboys,Jason Witten 10 yard pass from Tony Romo (Terrance Williams pass from Tony Romo ),38,41
13,4.0,9:37,Broncos,Matt Prater 50 yard field goal,41,41
14,4.0,7:19,Cowboys,Cole Beasley 4 yard pass from Tony Romo (Dan Bailey kick),41,48
15,4.0,2:39,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),48,48
16,4.0,0:00,Broncos,Matt Prater 28 yard field goal,51,48
