,Quarter,Time,Tm,Detail,CHI,WAS
0,1.0,11:28,Redskins,Kai Forbath 38 yard field goal,0,3
1,1.0,7:03,Bears,Robbie Gould 47 yard field goal,3,3
2,1.0,6:02,Bears,Matt Forte 2 yard rush (Robbie Gould kick),10,3
3,2.0,13:44,Redskins,Roy Helu 14 yard rush (Kai Forbath kick),10,10
4,2.0,13:27,Redskins,Brian Orakpo 29 yard interception return (Kai Forbath kick),10,17
5,2.0,5:52,Bears,Devin Hester 81 yard punt return (Robbie Gould kick),17,17
6,2.0,0:27,Redskins,Jordan Reed 3 yard pass from Robert Griffin III (Kai Forbath kick),17,24
7,3.0,6:34,Bears,Matt Forte 50 yard rush (Robbie Gould kick),24,24
8,3.0,3:19,Redskins,Roy Helu 3 yard rush (Kai Forbath kick),24,31
9,4.0,12:44,Bears,Matt Forte 6 yard rush (Robbie Gould kick),31,31
10,4.0,10:55,Redskins,Aldrick Robinson 45 yard pass from Robert Griffin III (Kai Forbath kick),31,38
11,4.0,8:39,Bears,Robbie Gould 49 yard field goal,34,38
12,4.0,3:57,Bears,Martellus Bennett 7 yard pass from Josh McCown (Robbie Gould kick),41,38
13,4.0,0:45,Redskins,Roy Helu 3 yard rush (Kai Forbath kick),41,45
