,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,12:36,Patriots,Kyle Arrington 62 yard blocked field goal return (Stephen Gostkowski kick),0,7
1,1.0,0:59,Dolphins,Caleb Sturgis 24 yard field goal,3,7
2,2.0,7:59,Patriots,Shane Vereen 3 yard rush (Stephen Gostkowski kick),3,14
3,2.0,4:26,Dolphins,Caleb Sturgis 53 yard field goal,6,14
4,2.0,0:05,Dolphins,Mike Wallace 32 yard pass from Ryan Tannehill (Caleb Sturgis kick),13,14
5,3.0,11:04,Patriots,LeGarrette Blount 3 yard rush (Stephen Gostkowski kick),13,21
6,3.0,4:43,Patriots,Stephen Gostkowski 35 yard field goal,13,24
7,3.0,4:30,Patriots,Rob Gronkowski 27 yard pass from Tom Brady (Stephen Gostkowski kick),13,31
8,3.0,1:29,Patriots,Julian Edelman 6 yard pass from Tom Brady (Stephen Gostkowski kick),13,38
9,4.0,6:20,Patriots,Stephen Gostkowski 36 yard field goal,13,41
