,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,3:08,Cardinals,Michael Floyd 20 yard pass from Carson Palmer (Chandler Catanzaro kick),0,7
1,2.0,14:03,Redskins,DeSean Jackson 64 yard pass from Kirk Cousins (Kai Forbath kick),7,7
2,2.0,8:20,Redskins,Kai Forbath 28 yard field goal,10,7
3,2.0,0:31,Cardinals,Larry Fitzgerald 24 yard pass from Carson Palmer (Chandler Catanzaro kick),10,14
4,2.0,0:02,Redskins,Kai Forbath 43 yard field goal,13,14
5,3.0,4:13,Cardinals,Chandler Catanzaro 33 yard field goal,13,17
6,4.0,12:54,Cardinals,Chandler Catanzaro 49 yard field goal,13,20
7,4.0,10:27,Cardinals,Chandler Catanzaro 37 yard field goal,13,23
8,4.0,2:17,Redskins,Pierre Garcon 5 yard pass from Kirk Cousins (Kai Forbath kick),20,23
9,4.0,0:18,Cardinals,Rashad Johnson 28 yard interception return (Chandler Catanzaro kick),20,30
