,Quarter,Time,Tm,Detail,CHI,NWE
0,1.0,9:41,Patriots,Rob Gronkowski 6 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,2.0,14:57,Patriots,Stephen Gostkowski 23 yard field goal,0,10
2,2.0,8:09,Patriots,Tim Wright 1 yard pass from Tom Brady (Stephen Gostkowski kick),0,17
3,2.0,5:32,Bears,Matt Forte 25 yard pass from Jay Cutler (Robbie Gould kick),7,17
4,2.0,1:52,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,24
5,2.0,1:07,Patriots,Brandon LaFell 9 yard pass from Tom Brady (Stephen Gostkowski kick),7,31
6,2.0,0:55,Patriots,Rob Ninkovich 15 yard defensive fumble return (Stephen Gostkowski kick),7,38
7,3.0,12:42,Patriots,Rob Gronkowski 46 yard pass from Tom Brady (Stephen Gostkowski kick),7,45
8,3.0,0:54,Bears,Martellus Bennett 20 yard pass from Jay Cutler (Dante Rosario pass from Jay Cutler ),15,45
9,4.0,9:59,Patriots,Stephen Gostkowski 27 yard field goal,15,48
10,4.0,5:16,Bears,Alshon Jeffery 10 yard pass from Jay Cutler (Matt Forte pass from Jay Cutler ),23,48
11,4.0,2:09,Patriots,Stephen Gostkowski 39 yard field goal,23,51
