,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,9:41,Ravens,Torrey Smith 35 yard pass from Joe Flacco (Justin Tucker kick),7,0
1,2.0,7:18,Steelers,Le'Veon Bell 5 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,7
2,2.0,5:24,Steelers,Martavis Bryant 19 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,14
3,2.0,1:44,Ravens,Justin Tucker 46 yard field goal,10,14
4,2.0,0:53,Steelers,Markus Wheaton 47 yard pass from Ben Roethlisberger (Matt Spaeth pass from Brad Wing),10,22
5,4.0,14:01,Steelers,Antonio Brown 54 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,29
6,4.0,13:47,Ravens,Jacoby Jones 108 yard kickoff return (Justin Tucker kick),17,29
7,4.0,9:31,Steelers,Martavis Bryant 18 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,36
8,4.0,2:58,Ravens,Crockett Gillmore 1 yard pass from Joe Flacco (run failed),23,36
9,4.0,1:51,Steelers,Matt Spaeth 33 yard pass from Ben Roethlisberger (Shaun Suisham kick),23,43
