,Quarter,Time,Tm,Detail,PIT,NWE
0,1.0,13:08,Patriots,Stephen Gostkowski 31 yard field goal,0,3
1,1.0,2:47,Patriots,Chris Hogan 16 yard pass from Tom Brady (Stephen Gostkowski kick),0,10
2,2.0,11:31,Steelers,DeAngelo Williams 5 yard rush (Chris Boswell kick failed),6,10
3,2.0,7:43,Patriots,Chris Hogan 34 yard pass from Tom Brady (Stephen Gostkowski kick),6,17
4,2.0,1:39,Steelers,Chris Boswell 23 yard field goal,9,17
5,3.0,9:59,Patriots,Stephen Gostkowski 47 yard field goal,9,20
6,3.0,2:44,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),9,27
7,3.0,1:35,Patriots,Julian Edelman 10 yard pass from Tom Brady (Stephen Gostkowski kick failed),9,33
8,4.0,6:24,Patriots,Stephen Gostkowski 26 yard field goal,9,36
9,4.0,3:36,Steelers,Cobi Hamilton 30 yard pass from Ben Roethlisberger (DeAngelo Williams pass from Ben Roethlisberger),17,36
