,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,11:03,Jaguars,Marqise Lee 21 yard pass from Blake Bortles (Jason Myers kick),0,7
1,1.0,4:03,Jaguars,Jason Myers 29 yard field goal,0,10
2,2.0,8:59,Titans,Rishard Matthews 3 yard pass from Marcus Mariota (Ryan Succop kick),7,10
3,2.0,1:57,Jaguars,Chris Ivory 1 yard rush (Jason Myers kick failed),7,16
4,2.0,0:11,Jaguars,Jason Myers 48 yard field goal,7,19
5,3.0,12:24,Titans,Ryan Succop 42 yard field goal,10,19
6,3.0,8:13,Jaguars,Jason Myers 56 yard field goal,10,22
7,3.0,2:59,Jaguars,Jason Myers 50 yard field goal,10,25
8,4.0,8:42,Titans,Delanie Walker 14 yard pass from Matt Cassel (Ryan Succop kick),17,25
9,4.0,5:25,Jaguars,Blake Bortles 20 yard pass from Marqise Lee (Jason Myers kick failed),17,31
10,4.0,5:17,Jaguars,Jalen Ramsey 30 yard interception return (Jason Myers kick),17,38
