,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,7:12,Steelers,Xavier Grimble 20 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
1,1.0,5:50,Ravens,Justin Tucker 41 yard field goal,3,7
2,2.0,0:18,Ravens,Justin Tucker 38 yard field goal,6,7
3,3.0,13:26,Ravens,Steve Smith 18 yard pass from Joe Flacco (Steve Smith pass from Joe Flacco),14,7
4,3.0,9:35,Steelers,Chris Boswell 36 yard field goal,14,10
5,3.0,1:28,Ravens,Justin Tucker 46 yard field goal,17,10
6,4.0,14:18,Ravens,Justin Tucker 23 yard field goal,20,10
7,4.0,11:41,Steelers,Le'Veon Bell 7 yard rush (Chris Boswell kick),20,17
8,4.0,7:16,Steelers,Le'Veon Bell 7 yard pass from Ben Roethlisberger (Chris Boswell kick),20,24
9,4.0,1:18,Ravens,Kyle Juszczyk 10 yard rush (Justin Tucker kick),27,24
10,4.0,0:09,Steelers,Antonio Brown 4 yard pass from Ben Roethlisberger (Chris Boswell kick),27,31
