,Quarter,Time,Tm,Detail,NYJ,CLE
0,1.0,11:45,Browns,Andrew Hawkins 5 yard pass from Josh McCown (Cody Parkey kick),0,7
1,1.0,3:11,Browns,Cody Parkey 41 yard field goal,0,10
2,2.0,12:44,Jets,Bilal Powell 35 yard rush (Nick Folk kick),7,10
3,2.0,1:51,Browns,Isaiah Crowell 1 yard rush (Cody Parkey kick),7,17
4,2.0,0:00,Browns,Cody Parkey 27 yard field goal,7,20
5,3.0,8:15,Jets,Quincy Enunwa 24 yard pass from Ryan Fitzpatrick (Nick Folk kick),14,20
6,3.0,2:11,Jets,Matt Forte 4 yard rush (Nick Folk kick),21,20
7,4.0,9:38,Jets,Matt Forte 2 yard rush (Nick Folk kick),28,20
8,4.0,4:04,Jets,Nick Folk 24 yard field goal,31,20
9,4.0,0:12,Browns,Andrew Hawkins 1 yard pass from Josh McCown (Terrelle Pryor pass from Josh McCown),31,28
