,Quarter,Time,Tm,Detail,BUF,LAC
0,1.0,11:44,Chargers,Korey Toomer 59 yard interception return (Nick Novak kick),0,7
1,1.0,9:02,Bills,LeSean McCoy 27 yard rush (Stephen Hauschka kick),7,7
2,1.0,3:57,Chargers,Nick Novak 33 yard field goal,7,10
3,2.0,12:53,Chargers,Keenan Allen 21 yard pass from Philip Rivers (Nick Novak kick),7,17
4,2.0,10:32,Chargers,Keenan Allen 2 yard pass from Philip Rivers (Nick Novak kick),7,24
5,2.0,4:55,Chargers,Nick Novak 28 yard field goal,7,27
6,2.0,1:09,Chargers,Melvin Gordon 10 yard rush (Nick Novak kick),7,34
7,2.0,0:00,Chargers,Nick Novak 39 yard field goal,7,37
8,3.0,10:21,Chargers,Nick Novak 28 yard field goal,7,40
9,3.0,7:34,Bills,Stephen Hauschka 50 yard field goal,10,40
10,3.0,1:51,Chargers,Melvin Ingram 39 yard fumble return (Nick Novak kick),10,47
11,4.0,13:51,Bills,LeSean McCoy 12 yard pass from Tyrod Taylor (Stephen Hauschka kick),17,47
12,4.0,7:57,Chargers,Austin Ekeler 21 yard rush (Nick Novak kick),17,54
13,4.0,4:49,Bills,Tyrod Taylor 2 yard rush (Stephen Hauschka kick),24,54
