,Quarter,Time,Tm,Detail,TAM,MIA
0,1.0,7:13,Buccaneers,Patrick Murray 30 yard field goal,3,0
1,1.0,4:23,Dolphins,Jarvis Landry 2 yard pass from Jay Cutler (Cody Parkey kick),3,7
2,2.0,14:10,Buccaneers,Patrick Murray 30 yard field goal,6,7
3,2.0,12:14,Buccaneers,O.J. Howard 6 yard pass from Ryan Fitzpatrick (Patrick Murray kick),13,7
4,2.0,0:45,Buccaneers,DeSean Jackson 4 yard pass from Ryan Fitzpatrick (Patrick Murray kick),20,7
5,3.0,10:57,Dolphins,Cody Parkey 26 yard field goal,20,10
6,3.0,4:19,Dolphins,Cody Parkey 31 yard field goal,20,13
7,4.0,3:00,Dolphins,Kenny Stills 61 yard pass from Matt Moore (Cody Parkey kick),20,20
8,4.0,0:04,Buccaneers,Patrick Murray 35 yard field goal,23,20
9,4.0,0:00,Buccaneers,Adarius Taylor fumble recovery in end zone (Patrick Murray kick),30,20
