,Quarter,Time,Tm,Detail,KAN,NWE
0,1.0,12:08,Patriots,Mike Gillislee 2 yard rush (Stephen Gostkowski kick),0,7
1,1.0,3:03,Chiefs,Demetrius Harris 7 yard pass from Alex Smith (Cairo Santos kick),7,7
2,2.0,14:56,Patriots,Stephen Gostkowski 25 yard field goal,7,10
3,2.0,7:27,Patriots,Mike Gillislee 2 yard rush (Stephen Gostkowski kick),7,17
4,2.0,0:13,Chiefs,Kareem Hunt 3 yard pass from Alex Smith (Cairo Santos kick),14,17
5,3.0,9:19,Chiefs,Tyreek Hill 75 yard pass from Alex Smith (Cairo Santos kick),21,17
6,3.0,5:01,Patriots,Mike Gillislee 1 yard rush (Stephen Gostkowski kick),21,24
7,3.0,0:09,Patriots,Stephen Gostkowski 32 yard field goal,21,27
8,4.0,14:07,Chiefs,Kareem Hunt 78 yard pass from Alex Smith (Cairo Santos kick),28,27
9,4.0,5:14,Chiefs,Kareem Hunt 4 yard rush (Cairo Santos kick),35,27
10,4.0,4:00,Chiefs,Charcandrick West 21 yard rush (Cairo Santos kick),42,27
