,Quarter,Time,Tm,Detail,WAS,KAN
0,1.0,11:52,Redskins,Terrelle Pryor 44 yard pass from Kirk Cousins (Dustin Hopkins kick),7,0
1,1.0,2:47,Redskins,Dustin Hopkins 19 yard field goal,10,0
2,2.0,1:54,Chiefs,Travis Kelce 17 yard pass from Alex Smith (Harrison Butker kick),10,7
3,3.0,9:20,Chiefs,Alex Smith 1 yard rush (Harrison Butker kick),10,14
4,3.0,7:42,Redskins,Ryan Grant 3 yard pass from Kirk Cousins (Dustin Hopkins kick),17,14
5,3.0,0:01,Chiefs,Harrison Butker 26 yard field goal,17,17
6,4.0,4:51,Chiefs,Harrison Butker 32 yard field goal,17,20
7,4.0,0:47,Redskins,Dustin Hopkins 40 yard field goal,20,20
8,4.0,0:04,Chiefs,Harrison Butker 43 yard field goal,20,23
9,4.0,0:00,Chiefs,Justin Houston 13 yard fumble return (run failed),20,29
