,Quarter,Time,Tm,Detail,NYJ,TEN
0,1.0,9:35,Jets,Jason Myers 54 yard field goal,3,0
1,1.0,7:59,Jets,Trumaine Johnson 31 yard interception return (Jason Myers kick),10,0
2,2.0,11:41,Jets,Jason Myers 34 yard field goal,13,0
3,2.0,2:51,Jets,Jason Myers 43 yard field goal,16,0
4,2.0,0:57,Titans,Anthony Firkser 12 yard pass from Marcus Mariota (Ryan Succop kick failed),16,6
5,3.0,10:39,Jets,Jason Myers 39 yard field goal,19,6
6,3.0,7:44,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),19,13
7,3.0,0:26,Jets,Jason Myers 39 yard field goal,22,13
8,4.0,9:29,Titans,Ryan Succop 24 yard field goal,22,16
9,4.0,5:39,Titans,Ryan Succop 33 yard field goal,22,19
10,4.0,0:36,Titans,Corey Davis 11 yard pass from Marcus Mariota (Ryan Succop kick),22,26
