,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,9:27,Ravens,Justin Tucker 38 yard field goal,0,3
1,1.0,8:22,Browns,Breshad Perriman 28 yard pass from Baker Mayfield (Greg Joseph kick),7,3
2,1.0,4:46,Ravens,Lamar Jackson 25 yard rush (Justin Tucker kick),7,10
3,2.0,14:54,Ravens,Lamar Jackson 8 yard rush (Justin Tucker kick),7,17
4,2.0,6:11,Ravens,Justin Tucker 35 yard field goal,7,20
5,3.0,12:27,Browns,Jarvis Landry 48 yard pass from Baker Mayfield (Greg Joseph kick),14,20
6,3.0,7:02,Ravens,Justin Tucker 44 yard field goal,14,23
7,4.0,13:45,Browns,Greg Joseph 35 yard field goal,17,23
8,4.0,7:20,Ravens,Justin Tucker 23 yard field goal,17,26
9,4.0,3:24,Browns,Antonio Callaway 1 yard pass from Baker Mayfield (Greg Joseph kick),24,26
