,Quarter,Time,Tm,Detail,DET,MIA
0,1.0,9:12,Lions,Michael Roberts 15 yard pass from Matthew Stafford (Matt Prater kick),7,0
1,2.0,12:34,Lions,Matt Prater 29 yard field goal,10,0
2,2.0,7:33,Dolphins,Kenny Stills 5 yard pass from Brock Osweiler (Jason Sanders kick),10,7
3,2.0,1:02,Lions,LeGarrette Blount 2 yard rush (Matt Prater kick),17,7
4,3.0,8:32,Lions,Matt Prater 28 yard field goal,20,7
5,3.0,7:06,Dolphins,Kenyan Drake 54 yard rush (Jason Sanders kick),20,14
6,3.0,3:16,Lions,Michael Roberts 4 yard pass from Matthew Stafford (run failed),26,14
7,4.0,10:04,Lions,Matt Prater 35 yard field goal,29,14
8,4.0,6:00,Dolphins,Danny Amendola 24 yard pass from Brock Osweiler (Jason Sanders kick),29,21
9,4.0,1:55,Lions,Matt Prater 50 yard field goal,32,21
