,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,12:22,Ravens,Mark Andrews 2 yard pass from Lamar Jackson (Justin Tucker kick),7,0
1,1.0,3:58,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),14,0
2,2.0,13:39,Bengals,Randy Bullock 42 yard field goal,14,3
3,2.0,9:32,Ravens,Mark Andrews 17 yard pass from Lamar Jackson (Justin Tucker kick),21,3
4,2.0,3:55,Ravens,Marcus Peters 89 yard interception return (Justin Tucker kick),28,3
5,2.0,0:30,Bengals,Tyler Eifert 6 yard pass from Ryan Finley (Randy Bullock kick),28,10
6,3.0,8:18,Ravens,Lamar Jackson 47 yard rush (Justin Tucker kick),35,10
7,3.0,5:18,Ravens,Marquise Brown 20 yard pass from Lamar Jackson (Justin Tucker kick),42,10
8,3.0,2:24,Ravens,Tyus Bowser 33 yard fumble return (Justin Tucker kick),49,10
9,4.0,2:34,Bengals,Randy Bullock 39 yard field goal,49,13
