,Quarter,Time,Tm,Detail,KAN,TEN
0,1.0,9:23,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
1,1.0,4:47,Chiefs,Harrison Butker 30 yard field goal,10,0
2,2.0,10:28,Titans,Anthony Firkser 9 yard pass from Ryan Tannehill (Ryan Succop kick),10,7
3,2.0,6:28,Titans,Rashaan Evans 53 yard fumble return (Ryan Succop kick failed),10,13
4,2.0,1:17,Chiefs,Harrison Butker 41 yard field goal,13,13
5,3.0,6:59,Chiefs,Tyreek Hill 11 yard pass from Patrick Mahomes (Harrison Butker kick failed),19,13
6,3.0,6:10,Titans,Derrick Henry 68 yard rush (Ryan Succop kick),19,20
7,3.0,2:03,Chiefs,Harrison Butker 43 yard field goal,22,20
8,4.0,12:05,Chiefs,Mecole Hardman 63 yard pass from Patrick Mahomes (Harrison Butker kick),29,20
9,4.0,6:30,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),29,27
10,4.0,3:19,Chiefs,Harrison Butker 39 yard field goal,32,27
11,4.0,0:29,Titans,Adam Humphries 23 yard pass from Ryan Tannehill (Ryan Tannehill run),32,35
