,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,12:52,Falcons,Younghoe Koo 25 yard field goal,0,3
1,1.0,6:57,Buccaneers,Chris Godwin 71 yard pass from Jameis Winston (Matt Gay kick),7,3
2,1.0,0:50,Falcons,Qadree Ollison 1 yard rush (Younghoe Koo kick),7,10
3,2.0,8:01,Buccaneers,Chris Godwin 1 yard pass from Jameis Winston (Matt Gay kick failed),13,10
4,2.0,0:44,Buccaneers,Vita Vea 1 yard pass from Jameis Winston (Matt Gay kick failed),19,10
5,3.0,11:03,Buccaneers,Ronald Jones II 4 yard rush (Matt Gay kick failed),25,10
6,3.0,1:45,Falcons,Younghoe Koo 40 yard field goal,25,13
7,4.0,12:53,Buccaneers,Matt Gay 32 yard field goal,28,13
8,4.0,8:16,Falcons,Younghoe Koo 38 yard field goal,28,16
9,4.0,3:18,Buccaneers,Ndamukong Suh 6 yard fumble return (Matt Gay kick),35,16
10,4.0,1:56,Falcons,Calvin Ridley 21 yard pass from Matt Schaub (pass failed),35,22
