,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,3:10,Dolphins,Jason Sanders 22 yard field goal,3,0
1,2.0,13:53,Jets,Robby Anderson 26 yard pass from Sam Darnold (Sam Ficken kick failed),3,6
2,2.0,11:05,Jets,Sam Ficken 37 yard field goal,3,9
3,2.0,5:44,Dolphins,Jason Sanders 25 yard field goal,6,9
4,2.0,2:00,Jets,Demaryius Thomas 14 yard pass from Sam Darnold (Sam Ficken kick),6,16
5,2.0,0:22,Dolphins,Jason Sanders 28 yard field goal,9,16
6,3.0,10:46,Dolphins,Jason Sanders 31 yard field goal,12,16
7,4.0,10:56,Dolphins,Jason Sanders 53 yard field goal,15,16
8,4.0,7:03,Dolphins,Jason Sanders 48 yard field goal,18,16
9,4.0,4:09,Jets,Sam Ficken 42 yard field goal,18,19
10,4.0,1:37,Dolphins,Jason Sanders 37 yard field goal,21,19
11,4.0,0:03,Jets,Sam Ficken 44 yard field goal,21,22
