,Quarter,Time,Tm,Detail,CIN,MIA
0,1,8:39,Dolphins,Christian Wilkins 3 yard fumble return (Jason Sanders kick),0,7
1,1,5:05,Dolphins,DeVante Parker 7 yard pass from Ryan Fitzpatrick (Jason Sanders kick),0,14
2,2,10:51,Bengals,Randy Bullock 20 yard field goal,3,14
3,2,2:27,Dolphins,Mike Gesicki 31 yard pass from Ryan Fitzpatrick (Jason Sanders kick),3,21
4,2,0:07,Bengals,Randy Bullock 57 yard field goal,6,21
5,3,8:31,Dolphins,Mike Gesicki 13 yard pass from Ryan Fitzpatrick (Jason Sanders kick),6,28
6,3,3:45,Bengals,Tyler Boyd 34 yard pass from Andy Dalton (pass failed),12,28
7,4,11:16,Dolphins,Myles Gaskin 2 yard rush (Jason Sanders kick),12,35
8,4,6:15,Bengals,C.J. Uzomah 8 yard pass from Andy Dalton (Randy Bullock kick),19,35
9,4,0:33,Bengals,Tyler Boyd 3 yard pass from Andy Dalton (Tyler Eifert pass from Andy Dalton),27,35
10,4,0:04,Bengals,Tyler Eifert 25 yard pass from Andy Dalton (Andy Dalton run),35,35
11,OT,0:04,Dolphins,Jason Sanders 37 yard field goal,35,38
