,Quarter,Time,Tm,Detail,NOR,TEN
0,1.0,8:03,Titans,Jonnu Smith 41 yard pass from Ryan Tannehill (Greg Joseph kick),0,7
1,1.0,5:00,Titans,A.J. Brown 49 yard rush (Greg Joseph kick),0,14
2,2.0,13:41,Saints,Wil Lutz 47 yard field goal,3,14
3,2.0,2:34,Saints,Jared Cook 61 yard pass from Drew Brees (Wil Lutz kick),10,14
4,3.0,14:07,Saints,Alvin Kamara 40 yard rush (Wil Lutz kick),17,14
5,3.0,7:10,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),24,14
6,3.0,4:36,Titans,Tajae Sharpe 36 yard pass from Ryan Tannehill (Greg Joseph kick),24,21
7,3.0,1:24,Saints,Jared Cook 16 yard pass from Drew Brees (Wil Lutz kick),31,21
8,4.0,7:33,Titans,Tajae Sharpe 7 yard pass from Ryan Tannehill (Greg Joseph kick),31,28
9,4.0,2:16,Saints,Michael Thomas 2 yard pass from Drew Brees (Wil Lutz kick),38,28
