,Quarter,Time,Tm,Detail,ATL,TAM
0,1,10:40,Falcons,Ty Sambrailo 35 yard pass from Matt Ryan (Younghoe Koo kick),7,0
1,1,7:00,Falcons,Younghoe Koo 27 yard field goal,10,0
2,2,10:27,Buccaneers,Cameron Brate 2 yard pass from Jameis Winston (Matt Gay kick),10,7
3,2,5:24,Falcons,Younghoe Koo 33 yard field goal,13,7
4,2,3:21,Buccaneers,Devin White 91 yard fumble return (Matt Gay kick),13,14
5,2,1:02,Falcons,Younghoe Koo 45 yard field goal,16,14
6,2,0:19,Buccaneers,Breshad Perriman 24 yard pass from Jameis Winston (Jameis Winston run),16,22
7,4,6:32,Falcons,Younghoe Koo 43 yard field goal,19,22
8,4,0:03,Falcons,Younghoe Koo 33 yard field goal,22,22
9,OT,10:00,Falcons,Deion Jones 27 yard interception return,28,22
