,Quarter,Time,Tm,Detail,LAR,CAR
0,2.0,13:48,Rams,Greg Zuerlein 49 yard field goal,3,0
1,2.0,12:50,Rams,Malcolm Brown 5 yard rush (Greg Zuerlein kick),10,0
2,2.0,1:07,Rams,Greg Zuerlein 56 yard field goal,13,0
3,2.0,0:02,Panthers,Joey Slye 46 yard field goal,13,3
4,3.0,11:56,Rams,Greg Zuerlein 27 yard field goal,16,3
5,3.0,8:31,Panthers,Christian McCaffrey 8 yard rush (Joey Slye kick),16,10
6,3.0,2:54,Rams,Malcolm Brown 1 yard rush (Greg Zuerlein kick),23,10
7,3.0,0:16,Panthers,Joey Slye 52 yard field goal,23,13
8,4.0,13:15,Panthers,Christian McCaffrey 2 yard rush (Joey Slye kick),23,20
9,4.0,6:42,Rams,Tyler Higbee 5 yard pass from Jared Goff (Greg Zuerlein kick),30,20
10,4.0,2:00,Panthers,Alex Armah 1 yard rush (Joey Slye kick),30,27
