,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,11:08,Redskins,Vernon Davis 48 yard pass from Case Keenum (Dustin Hopkins kick),7,0
1,1.0,2:51,Redskins,Dustin Hopkins 41 yard field goal,10,0
2,2.0,10:07,Redskins,Terry McLaurin 69 yard pass from Case Keenum (Dustin Hopkins kick),17,0
3,2.0,4:27,Eagles,DeSean Jackson 51 yard pass from Carson Wentz (Jake Elliott kick),17,7
4,2.0,0:04,Redskins,Dustin Hopkins 48 yard field goal,20,7
5,3.0,7:54,Eagles,Alshon Jeffery 5 yard pass from Carson Wentz (Jake Elliott kick),20,14
6,3.0,5:15,Eagles,DeSean Jackson 53 yard pass from Carson Wentz (Jake Elliott kick),20,21
7,4.0,15:00,Eagles,Alshon Jeffery 2 yard rush (Darren Sproles run),20,29
8,4.0,3:12,Eagles,Jake Elliott 22 yard field goal,20,32
9,4.0,0:12,Redskins,Trey Quinn 4 yard pass from Case Keenum (Dustin Hopkins kick),27,32
