,Quarter,Time,Tm,Detail,NYG,TAM
0,1.0,9:54,Buccaneers,Mike Evans 21 yard pass from Jameis Winston (Matt Gay kick failed),0,6
1,1.0,4:11,Giants,Aldrick Rosas 36 yard field goal,3,6
2,1.0,0:23,Buccaneers,Mike Evans 3 yard pass from Jameis Winston (Matt Gay kick failed),3,12
3,2.0,10:06,Giants,Daniel Jones 7 yard rush (Aldrick Rosas kick),10,12
4,2.0,7:40,Buccaneers,Matt Gay 47 yard field goal,10,15
5,2.0,4:08,Buccaneers,Matt Gay 27 yard field goal,10,18
6,2.0,1:31,Buccaneers,Mike Evans 20 yard pass from Jameis Winston (Matt Gay kick),10,25
7,2.0,0:04,Buccaneers,Matt Gay 52 yard field goal,10,28
8,3.0,15:00,Giants,Evan Engram 75 yard pass from Daniel Jones (Sterling Shepard pass from Daniel Jones ),18,28
9,3.0,8:21,Giants,Sterling Shepard 7 yard pass from Daniel Jones (Aldrick Rosas kick),25,28
10,4.0,6:04,Buccaneers,Matt Gay 23 yard field goal,25,31
11,4.0,1:21,Giants,Daniel Jones 7 yard rush (Aldrick Rosas kick),32,31
