,Quarter,Time,Tm,Detail,KAN,DET
0,1.0,10:09,Lions,Matt Prater 25 yard field goal,0,3
1,1.0,3:10,Lions,T.J. Hockenson 5 yard pass from Matthew Stafford (Matt Prater kick),0,10
2,2.0,14:16,Chiefs,Harrison Butker 23 yard field goal,3,10
3,2.0,4:18,Chiefs,LeSean McCoy 1 yard rush (Harrison Butker kick),10,10
4,2.0,1:08,Lions,Matt Prater 48 yard field goal,10,13
5,2.0,0:06,Chiefs,Harrison Butker 44 yard field goal,13,13
6,3.0,9:31,Chiefs,Bashaud Breeland 100 yard fumble return (Harrison Butker kick),20,13
7,3.0,6:24,Lions,Matt Prater 53 yard field goal,20,16
8,3.0,1:14,Lions,Kenny Golladay 9 yard pass from Matthew Stafford (Matt Prater kick),20,23
9,4.0,12:12,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),27,23
10,4.0,2:31,Lions,Kenny Golladay 6 yard pass from Matthew Stafford (Matt Prater kick),27,30
11,4.0,0:23,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),34,30
