,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,12:44,Lions,Matt Prater 26 yard field goal,3,0
1,1.0,6:41,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),10,0
2,2.0,13:32,Lions,Matt Prater 22 yard field goal,13,0
3,2.0,7:37,Packers,Jamaal Williams 5 yard pass from Aaron Rodgers (Mason Crosby kick),13,7
4,2.0,0:11,Packers,Mason Crosby 37 yard field goal,13,10
5,3.0,12:39,Packers,Mason Crosby 48 yard field goal,13,13
6,3.0,9:04,Lions,Matt Prater 41 yard field goal,16,13
7,3.0,3:31,Lions,Matt Prater 51 yard field goal,19,13
8,4.0,12:22,Lions,Matt Prater 54 yard field goal,22,13
9,4.0,9:10,Packers,Allen Lazard 35 yard pass from Aaron Rodgers (Mason Crosby kick),22,20
10,4.0,0:02,Packers,Mason Crosby 23 yard field goal,22,23
