,Quarter,Time,Tm,Detail,LVR,CAR
0,1.0,10:07,Panthers,Joey Slye 47 yard field goal,0,3
1,1.0,5:51,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),7,3
2,1.0,1:02,Panthers,Christian McCaffrey 6 yard rush (Joey Slye kick failed),7,9
3,2.0,8:16,Raiders,Daniel Carlson 20 yard field goal,10,9
4,2.0,5:08,Panthers,Joey Slye 46 yard field goal,10,12
5,2.0,2:00,Raiders,Nelson Agholor 23 yard pass from Derek Carr (Daniel Carlson kick),17,12
6,2.0,0:02,Panthers,Joey Slye 31 yard field goal,17,15
7,3.0,9:43,Raiders,Daniel Carlson 54 yard field goal,20,15
8,3.0,5:33,Raiders,Josh Jacobs 7 yard rush (Daniel Carlson kick),27,15
9,4.0,12:37,Panthers,Christian McCaffrey 3 yard rush (Joey Slye kick),27,22
10,4.0,8:41,Panthers,Robby Anderson 75 yard pass from Teddy Bridgewater (Robby Anderson pass from Teddy Bridgewater),27,30
11,4.0,4:14,Raiders,Josh Jacobs 6 yard rush (Daniel Carlson kick),34,30
