,Quarter,Time,Tm,Detail,ATL,DAL
0,1.0,11:06,Falcons,Calvin Ridley 22 yard pass from Matt Ryan (Younghoe Koo kick),7,0
1,1.0,7:45,Falcons,Hayden Hurst 42 yard pass from Matt Ryan (Younghoe Koo kick),14,0
2,1.0,4:32,Falcons,Younghoe Koo 42 yard field goal,17,0
3,1.0,1:10,Falcons,Younghoe Koo 27 yard field goal,20,0
4,2.0,12:15,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),20,7
5,2.0,6:03,Falcons,Calvin Ridley 3 yard pass from Matt Ryan (pass failed),26,7
6,2.0,1:50,Cowboys,Greg Zuerlein 33 yard field goal,26,10
7,2.0,0:06,Falcons,Younghoe Koo 41 yard field goal,29,10
8,3.0,12:27,Cowboys,Dak Prescott 2 yard rush (Greg Zuerlein kick),29,17
9,3.0,4:17,Cowboys,Dak Prescott 1 yard rush (Greg Zuerlein kick),29,24
10,4.0,14:29,Falcons,Russell Gage 8 yard pass from Matt Ryan (Younghoe Koo kick),36,24
11,4.0,8:01,Falcons,Younghoe Koo 32 yard field goal,39,24
12,4.0,5:02,Cowboys,Dalton Schultz 10 yard pass from Dak Prescott (run failed),39,30
13,4.0,1:52,Cowboys,Dak Prescott 1 yard rush (Greg Zuerlein kick),39,37
14,4.0,0:04,Cowboys,Greg Zuerlein 46 yard field goal,39,40
