,Quarter,Time,Tm,Detail,CIN,PHI
0,2.0,15:00,Eagles,Jake Elliott 27 yard field goal,0,3
1,2.0,7:38,Bengals,Randy Bullock 48 yard field goal,3,3
2,2.0,2:51,Eagles,Jake Elliott 42 yard field goal,3,6
3,2.0,1:33,Bengals,Tee Higgins 1 yard pass from Joe Burrow (Randy Bullock kick),10,6
4,2.0,0:21,Eagles,Greg Ward 29 yard pass from Carson Wentz (Jake Elliott kick),10,13
5,3.0,8:44,Eagles,Jake Elliott 54 yard field goal,10,16
6,3.0,2:27,Bengals,Tee Higgins 4 yard pass from Joe Burrow (Randy Bullock kick),17,16
7,4.0,14:55,Bengals,Randy Bullock 31 yard field goal,20,16
8,4.0,3:08,Bengals,Randy Bullock 25 yard field goal,23,16
9,4.0,0:30,Eagles,Carson Wentz 7 yard rush (Jake Elliott kick),23,23
