,Quarter,Time,Tm,Detail,TEN,MIN
0,1.0,11:48,Titans,Stephen Gostkowski 39 yard field goal,3,0
1,1.0,6:04,Titans,Stephen Gostkowski 31 yard field goal,6,0
2,1.0,2:51,Vikings,Dalvin Cook 39 yard rush (Dan Bailey kick),6,7
3,2.0,9:04,Vikings,Adam Thielen 16 yard pass from Kirk Cousins (Dan Bailey kick),6,14
4,2.0,3:22,Titans,Stephen Gostkowski 30 yard field goal,9,14
5,2.0,1:45,Vikings,Dan Bailey 41 yard field goal,9,17
6,3.0,9:02,Titans,Stephen Gostkowski 51 yard field goal,12,17
7,3.0,8:17,Vikings,Justin Jefferson 71 yard pass from Kirk Cousins (Dan Bailey kick),12,24
8,3.0,3:56,Titans,Derrick Henry 1 yard rush (Stephen Gostkowski kick),19,24
9,3.0,1:24,Titans,Derrick Henry 1 yard rush (pass failed),25,24
10,4.0,10:22,Vikings,Kyle Rudolph 3 yard pass from Kirk Cousins (pass failed),25,30
11,4.0,6:36,Titans,Stephen Gostkowski 54 yard field goal,28,30
12,4.0,1:48,Titans,Stephen Gostkowski 55 yard field goal,31,30
