,Quarter,Time,Tm,Detail,DEN,NYJ
0,1.0,11:37,Jets,Sam Darnold 46 yard rush (Sam Ficken kick),0,7
1,1.0,4:48,Broncos,Brandon McManus 40 yard field goal,3,7
2,2.0,13:17,Broncos,Jerry Jeudy 48 yard pass from Brett Rypien (Brandon McManus kick),10,7
3,2.0,6:24,Jets,Sam Ficken 26 yard field goal,10,10
4,2.0,1:39,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),17,10
5,2.0,0:19,Jets,Sam Ficken 38 yard field goal,17,13
6,3.0,11:26,Jets,Sam Ficken 32 yard field goal,17,16
7,3.0,4:35,Broncos,Tim Patrick 7 yard pass from Brett Rypien (Brandon McManus kick),24,16
8,4.0,14:15,Broncos,Brandon McManus 54 yard field goal,27,16
9,4.0,11:48,Jets,Sam Ficken 54 yard field goal,27,19
10,4.0,10:56,Jets,Pierre Desir 35 yard interception return (pass failed),27,25
11,4.0,6:33,Jets,Sam Ficken 36 yard field goal,27,28
12,4.0,3:13,Broncos,Brandon McManus 53 yard field goal,30,28
13,4.0,2:00,Broncos,Melvin Gordon 43 yard rush (Brandon McManus kick),37,28
