,Quarter,Time,Tm,Detail,CLE,DAL
0,1.0,12:21,Browns,Odell Beckham Jr. 37 yard pass from Jarvis Landry (Cody Parkey kick),7,0
1,1.0,10:01,Cowboys,CeeDee Lamb 43 yard pass from Dak Prescott (Greg Zuerlein kick),7,7
2,1.0,2:13,Cowboys,Amari Cooper 20 yard pass from Dak Prescott (Greg Zuerlein kick),7,14
3,2.0,13:12,Browns,Odell Beckham Jr. 4 yard pass from Baker Mayfield (Cody Parkey kick),14,14
4,2.0,9:26,Browns,Austin Hooper 1 yard pass from Baker Mayfield (Cody Parkey kick),21,14
5,2.0,7:25,Browns,Kareem Hunt 2 yard rush (Cody Parkey kick),28,14
6,2.0,0:05,Browns,Cody Parkey 37 yard field goal,31,14
7,3.0,10:59,Browns,Kareem Hunt 14 yard rush (Cody Parkey kick),38,14
8,3.0,0:45,Browns,Cody Parkey 44 yard field goal,41,14
9,4.0,12:28,Cowboys,Tony Pollard 3 yard rush (Ezekiel Elliott pass from Dak Prescott ),41,22
10,4.0,6:32,Cowboys,Dalton Schultz 26 yard pass from Dak Prescott (Dak Prescott run),41,30
11,4.0,3:47,Cowboys,CeeDee Lamb 5 yard pass from Dak Prescott (Amari Cooper run),41,38
12,4.0,3:37,Browns,Odell Beckham Jr. 50 yard rush (Stephen Carlson run),49,38
