,Quarter,Time,Tm,Detail,SEA,MIA
0,1.0,10:05,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),7,0
1,1.0,2:38,Dolphins,Jason Sanders 41 yard field goal,7,3
2,1.0,0:11,Seahawks,Jason Myers 55 yard field goal,10,3
3,2.0,11:28,Dolphins,Jason Sanders 29 yard field goal,10,6
4,2.0,0:29,Dolphins,Jason Sanders 45 yard field goal,10,9
5,2.0,0:06,Seahawks,Travis Homer 3 yard pass from Russell Wilson (Jason Myers kick),17,9
6,3.0,4:12,Dolphins,Jason Sanders 43 yard field goal,17,12
7,4.0,8:35,Dolphins,Jason Sanders 29 yard field goal,17,15
8,4.0,5:30,Seahawks,David Moore 17 yard pass from Russell Wilson (Jason Myers kick),24,15
9,4.0,4:05,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),31,15
10,4.0,1:55,Dolphins,Ryan Fitzpatrick 10 yard rush (Preston Williams pass from Ryan Fitzpatrick),31,23
